Apostasy,a,State,Oscilate,CB,SB,CN,SN,R
0.005,0.43,1,0,0,0,0,1,0.19999422235137362
0.005,0.44,1,0,0,0,0,1,0.19999710887447808
0.005,0.45,1,0,0,0,0,1,0.19999498636119334
0.005,0.46,1,0,0,0,0,1,0.19999526410066149
0.005,0.47000000000000003,1,0,0,0,0,1,0.19999606293995875
0.005,0.48,1,0,0,0,0,1,0.19999506356481467
0.005,0.49,1,0,0,0,0,1,0.1999951887177727
0.005,0.5,1,0,0,0,0,1,0.1999962121270522
0.005,0.51,1,0,0,0,0,1,0.19999603413187214
0.005,0.52,1,0,0,0,0,1,0.19999319736958202
0.005,0.53,1,0,0,0,0,1,0.1999965438275445
0.005,0.54,1,0,0,0,0,1,0.1999954456264398
0.005,0.55,1,0,0,0,0,1,0.1999958347501573
0.005,0.56,1,0,0,0,0,1,0.1999957484526537
0.005,0.5700000000000001,1,0,0,0,0,1,0.19999616760636707
0.005,0.58,1,0,0,0,0,1,0.19999368458188527
0.005,0.59,1,0,0,0,0,1,0.19999614174178865
0.005,0.6,1,0,0,0,0,1,0.19999577421558942
0.005,0.61,1,0,0,0,0,1,0.199994325538221
0.005,0.62,1,0,0,0,0,1,0.19999379356055202
0.005,0.63,1,0,0,0,0,1,0.19999522294092067
0.005,0.64,1,0,0,0,0,1,0.20000475562544082
0.005,0.65,1,0,0,0,0,1,0.200003845025055
0.005,0.66,1,0,0,0,0,1,0.19999684260958653
0.005,0.67,1,0,0,0,0,1,0.20000505974224103
0.005,0.68,1,0,0,0,0,1,0.19999509014482875
0.005,0.6900000000000001,1,0,0,0,0,1,0.20000525047879644
0.005,0.7000000000000001,1,0,0,0,0,1,0.2000057575195084
0.005,0.71,1,0,0,0,0,1,0.2000048532598893
